y_1,x_1,y_2,x_2
10859,7389,10895,7426
10859,7426,10895,7463
10859,7463,10895,7499
10859,7499,10895,7536
10859,7536,10895,7573
10859,7573,10895,7609
10859,7609,10895,7646
10859,7683,10895,7719
10859,7719,10895,7756
10859,7756,10895,7793
10895,7389,10932,7426
10895,7426,10932,7463
10895,7463,10932,7499
10895,7499,10932,7536
10895,7536,10932,7573
10895,7573,10932,7609
10895,7683,10932,7719
10895,7719,10932,7756
10895,7756,10932,7793
10932,7389,10969,7426
10932,7426,10969,7463
10932,7463,10969,7499
10932,7499,10969,7536
10932,7536,10969,7573
10932,7573,10969,7609
10932,7683,10969,7719
10969,7389,11005,7426
10969,7426,11005,7463
10969,7463,11005,7499
10969,7499,11005,7536
10969,7536,11005,7573
10969,7609,11005,7646
11005,7389,11042,7426
11005,7426,11042,7463
11005,7463,11042,7499
11005,7499,11042,7536
11005,7536,11042,7573
11042,7389,11079,7426
11042,7426,11079,7463
11042,7463,11079,7499
11079,7389,11115,7426
11079,7426,11115,7463
11079,7463,11115,7499
11115,7389,11152,7426
11115,7426,11152,7463
11115,7463,11152,7499
11115,7499,11152,7536
11115,7609,11152,7646
11152,7389,11189,7426
11152,7426,11189,7463
11152,7463,11189,7499
11152,7499,11189,7536
11152,7536,11189,7573
11152,7609,11189,7646
11189,7389,11225,7426
11189,7426,11225,7463
11189,7609,11225,7646
11225,7389,11262,7426
11225,7426,11262,7463
11225,7463,11262,7499
11225,7499,11262,7536
11225,7536,11262,7573
11225,7573,11262,7609
11225,7609,11262,7646
